,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Raphanus sativus
ASV2,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV3,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV6,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,Sambucus nigra
ASV7,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea
ASV8,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,NA
ASV12,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus taeda
ASV14,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Paspalum,Paspalum minus
ASV15,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,NA
ASV16,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
ASV17,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Dichanthelium,NA
ASV18,Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,NA
ASV19,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,NA
ASV20,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,Poa annua
ASV21,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV22,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum,NA
ASV23,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,NA
ASV24,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Paspalum,NA
ASV25,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens
ASV26,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,NA
ASV27,Viridiplantae,Streptophyta,Magnoliopsida,Poales,NA,NA,NA
ASV29,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,NA
ASV30,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens
ASV31,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Lollium,NA
ASV32,-,NA,NA,NA,NA,NA,NA
ASV34,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,NA
ASV36,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Altingiaceae,Liquidambar,NA
ASV38,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Urochloa,NA
ASV39,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
ASV40,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV41,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV42,-,NA,NA,NA,NA,NA,NA
ASV43,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus hybrid cultivar
ASV46,-,NA,NA,NA,NA,NA,NA
ASV47,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Callicarpa,Callicarpa americana
ASV48,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea
ASV49,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV50,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV51,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,Phyllanthus emblica
ASV52,Viridiplantae,Streptophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,Platanus occidentalis
ASV53,-,NA,NA,NA,NA,NA,NA
ASV54,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,NA
ASV55,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
ASV56,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum lycopersicum
ASV57,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,NA
ASV58,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,NA
ASV59,NA,NA,NA,NA,NA,NA,NA
ASV60,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,NA
ASV61,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Crassocephalum,Crassocephalum crepidioides
ASV63,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,NA
ASV64,NA,NA,NA,NA,NA,NA,NA
ASV65,NA,NA,NA,NA,NA,NA,NA
ASV66,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV68,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,NA
ASV69,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton tiglium
ASV70,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV71,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV72,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Juncaceae,Juncus,NA
ASV73,-,NA,NA,NA,NA,NA,NA
ASV74,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Paspalum,NA
ASV75,NA,NA,NA,NA,NA,NA,NA
ASV76,-,NA,NA,NA,NA,NA,NA
ASV77,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV78,-,NA,NA,NA,NA,NA,NA
ASV79,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus carota
ASV80,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV81,-,NA,NA,NA,NA,NA,NA
ASV82,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV83,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV84,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV85,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,NA
ASV86,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,NA
ASV87,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV88,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Jacquemontia,NA
ASV89,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Eromochloa,NA
ASV90,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Cynodon,NA
ASV91,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV92,-,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia americana
ASV93,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV94,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,NA
ASV95,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Eleusine,NA
ASV96,NA,NA,NA,NA,NA,NA,NA
ASV97,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
ASV98,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Indocalamus,NA
ASV99,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Eleusine,NA
ASV100,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV102,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,NA,NA
ASV103,-,NA,NA,NA,NA,NA,NA
ASV104,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,NA
ASV105,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
ASV106,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,NA
ASV107,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus parvifolia
ASV108,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica lobatifolia
ASV109,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Cyperus,Cyperus esculentus
ASV110,NA,NA,NA,NA,NA,NA,NA
ASV111,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV112,Viridiplantae,Streptophyta,Bryopsida,Hypnales,NA,NA,NA
ASV113,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV114,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Eruca,NA
ASV115,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus taeda
ASV116,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV117,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
ASV118,NA,NA,NA,NA,NA,NA,NA
ASV119,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV120,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,NA
ASV121,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,Phyllanthus emblica
ASV122,NA,NA,NA,NA,NA,NA,NA
ASV123,-,NA,NA,NA,NA,NA,NA
ASV124,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
ASV125,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum
ASV126,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
ASV127,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,NA
ASV128,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV129,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,NA
ASV130,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV131,-,NA,NA,NA,NA,NA,NA
ASV132,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV133,NA,NA,NA,NA,NA,NA,NA
ASV134,NA,NA,NA,NA,NA,NA,NA
ASV135,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV136,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,NA,NA
ASV137,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,Phyllanthus emblica
ASV138,-,NA,NA,NA,NA,NA,NA
ASV139,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus elliottii
ASV140,NA,NA,NA,NA,NA,NA,NA
ASV141,-,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia americana
ASV142,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV143,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV144,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Phyllostachys,NA
ASV145,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV146,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV147,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Paspalum,NA
ASV148,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,NA
ASV149,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex nepalensis
ASV150,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV151,NA,NA,NA,NA,NA,NA,NA
ASV152,NA,NA,NA,NA,NA,NA,NA
ASV153,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV154,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV155,Viridiplantae,Streptophyta,Bryopsida,Funariales,Funariaceae,Funaria,Funaria hygrometrica
ASV156,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,NA
ASV157,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus taeda
ASV158,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV159,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV160,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV161,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV162,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,NA
ASV163,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV164,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum stenotomum subsp. goniocalyx
ASV165,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,NA
ASV166,-,NA,NA,NA,NA,NA,NA
ASV167,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA
ASV168,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV169,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV170,NA,NA,NA,NA,NA,NA,NA
ASV171,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Indocalamus,NA
ASV172,NA,NA,NA,NA,NA,NA,NA
ASV173,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV174,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,NA,NA,NA
ASV175,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV176,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus sieversii
ASV177,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV178,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Indocalamus,NA
ASV179,NA,NA,NA,NA,NA,NA,NA
ASV180,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,NA
ASV181,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus taeda
ASV182,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,NA
ASV183,NA,NA,NA,NA,NA,NA,NA
ASV184,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV185,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV186,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,NA
ASV187,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Campanulaceae,Wahlenbergia,NA
ASV188,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV189,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Spinacia,Spinacia oleracea
ASV190,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV191,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,NA
ASV192,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,NA
ASV193,NA,NA,NA,NA,NA,NA,NA
ASV194,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Altingiaceae,Liquidambar,NA
ASV195,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,NA
ASV196,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV197,-,NA,NA,NA,NA,NA,NA
ASV198,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV199,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV200,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Tsuga,Tsuga chinensis
ASV201,NA,NA,NA,NA,NA,NA,NA
ASV202,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Digitaria,NA
ASV203,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium sativum
ASV204,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Molluginaceae,Mollugo,Mollugo verticillata
ASV205,-,NA,NA,NA,NA,NA,NA
ASV206,-,NA,NA,NA,NA,NA,NA
ASV207,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV208,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV209,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV210,-,NA,NA,NA,NA,NA,NA
ASV211,Viridiplantae,Streptophyta,Pinopsida,Cupressales,Cupressaceae,Juniperus,NA
ASV212,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV213,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Lollium,NA
ASV214,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV215,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,NA
ASV216,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
ASV217,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,NA
ASV218,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,NA
ASV219,NA,NA,NA,NA,NA,NA,NA
ASV220,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Symphiotrichum,NA
ASV221,-,-,Synurophyceae,Ochromonadales,Ochromonadaceae,Poterioochromonas,Poterioochromonas malhamensis
ASV222,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,NA
ASV223,NA,NA,NA,NA,NA,NA,NA
ASV224,-,NA,NA,NA,NA,NA,NA
ASV225,-,NA,NA,NA,NA,NA,NA
ASV226,NA,NA,NA,NA,NA,NA,NA
ASV227,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV228,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea
ASV229,-,NA,NA,NA,NA,NA,NA
ASV230,Viridiplantae,Streptophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis corniculata
ASV231,NA,NA,NA,NA,NA,NA,NA
ASV232,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV233,-,NA,NA,NA,NA,NA,NA
ASV234,-,NA,NA,NA,NA,NA,NA
ASV235,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,Phytolacca acinosa
ASV236,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,NA
ASV237,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV238,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus strobus
ASV239,NA,NA,NA,NA,NA,NA,NA
ASV240,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Oldenlandia,NA
ASV241,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV242,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Verbenaceae,Glandularia,Glandularia tenera
ASV243,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,NA
ASV244,-,NA,NA,NA,NA,NA,NA
ASV245,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Oldenlandia,Oldenlandia corymbosa
ASV246,-,NA,NA,NA,NA,NA,NA
ASV247,-,NA,NA,NA,NA,NA,NA
ASV248,NA,NA,NA,NA,NA,NA,NA
ASV249,NA,NA,NA,NA,NA,NA,NA
ASV250,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV251,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Oldenlandia,Oldenlandia corymbosa
ASV252,NA,NA,NA,NA,NA,NA,NA
ASV253,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,NA
ASV254,NA,NA,NA,NA,NA,NA,NA
ASV255,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV256,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,NA
ASV257,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,Raphanus sativus
ASV258,-,NA,NA,NA,NA,NA,NA
ASV259,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Moraceae,Morus,NA
ASV260,-,NA,NA,NA,NA,NA,NA
ASV261,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,NA
ASV262,Viridiplantae,Streptophyta,Magnoliopsida,NA,NA,NA,NA
ASV263,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Cyperus,Cyperus esculentus
ASV264,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Styphnolobium,NA
ASV265,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,NA
ASV266,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV267,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Aegilops,NA
ASV268,-,NA,NA,NA,NA,NA,NA
ASV269,-,NA,NA,NA,NA,NA,NA
ASV270,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,NA
ASV271,-,NA,NA,NA,NA,NA,NA
ASV272,-,NA,NA,NA,NA,NA,NA
ASV273,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
ASV274,-,NA,NA,NA,NA,NA,NA
ASV275,NA,NA,NA,NA,NA,NA,NA
ASV276,Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,NA
ASV277,-,NA,NA,NA,NA,NA,NA
ASV278,Viridiplantae,NA,NA,NA,NA,NA,NA
ASV279,Viridiplantae,Streptophyta,Pinopsida,Pinales,Pinaceae,Pinus,NA
ASV280,-,NA,NA,NA,NA,NA,NA
ASV281,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Carya,NA
ASV282,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,NA
ASV283,-,NA,NA,NA,NA,NA,NA
ASV284,NA,NA,NA,NA,NA,NA,NA
ASV285,-,NA,NA,NA,NA,NA,NA
ASV286,-,NA,NA,NA,NA,NA,NA
ASV287,NA,NA,NA,NA,NA,NA,NA
ASV288,NA,NA,NA,NA,NA,NA,NA
ASV289,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon
ASV290,-,NA,NA,NA,NA,NA,NA
ASV291,-,NA,NA,NA,NA,NA,NA
ASV292,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,NA
ASV293,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,NA
ASV294,-,NA,NA,NA,NA,NA,NA
ASV295,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus americana
ASV296,NA,NA,NA,NA,NA,NA,NA
ASV297,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,Lamium galeobdolon