"","Kingdom","Phylum","Class","Order","Family","Genus","w2-810-1.fastq","MikeCrossley-UGA-022421-bc1104--bc1112-Q40.fastq","MikeCrossley-UGA-022421-bc1115--bc1169-Q40.fastq","MikeCrossley-UGA-022421-bc1098--bc1103-Q40.fastq","bc1100--bc1104-Q40.fastq","MikeCrossley-UGA-022421-bc1097--bc1108-Q40.fastq","bc1100--bc1106-Q40.fastq","bc1104--bc1113-Q40.fastq","bc1100--bc1107-Q40.fastq","MikeCrossley-UGA-022421-bc1106--bc1113-Q40.fastq","w1-1012-1.fastq","bc1112--bc1174-Q40.fastq","bc1105--bc1115-Q40.fastq","bc1100--bc1103-Q40.fastq","MikeCrossley-UGA-022421-bc1106--bc1114-Q40.fastq","bc1115--bc1174-Q40.fastq","bc1099--bc1174-Q40.fastq","bc1098--bc1174-Q40.fastq","bc1098--bc1104-Q40.fastq","MikeCrossley-UGA-022421-bc1097--bc1104-Q40.fastq","bc1103--bc1114-Q40.fastq","bc1100--bc1174-Q40.fastq","bc1106--bc1112-Q40.fastq","bc1100--bc1105-Q40.fastq","bc1098--bc1103-Q40.fastq","bc1106--bc1115-Q40.fastq","bc1105--bc1111-Q40.fastq","w2-721-1.fastq","MikeCrossley-UGA-022421-bc1103--bc1112-Q40.fastq","bc1106--bc1113-Q40.fastq"
"1","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Adoxaceae","Sambucus",4301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Stellaria",61,1914,0,0,1111,0,759,0,679,601,303,0,0,113,0,0,0,0,3,12,0,7,9,2,0,0,0,0,0,3
"3","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Lamium",0,102,1593,0,350,0,242,0,24,3,72,249,203,120,0,0,0,0,24,0,0,5,3,6,6,5,0,0,3,0
"4","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Raphanus",0,20,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Paspalum",0,0,0,0,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Viridiplantae","Streptophyta","Magnoliopsida","Zingiberales","Musaceae","Musa",0,0,0,0,3,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Apium",0,157,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Pedaliaceae","Sesamum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,5,0,2,0,0,0,0,0
"10","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Arachis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2,0,0,0,0,0
"11","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Cynodon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,6,0,0,5,0
"12","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Indocalamus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
"13","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Digitaria",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0
"14","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,0,0
"15","Viridiplantae","Streptophyta","Magnoliopsida","Aquifoliales","Aquifoliaceae","Ilex",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Glycine",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Altingiaceae","Liquidambar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Solanaceae","Solanum",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Molluginaceae","Mollugo",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Pinus",0,0,0,0,0,0,7,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0
"21","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Symphiotrichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"22","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Gossypium",0,4,0,0,0,11,0,0,0,0,0,6,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0
"23","Viridiplantae","Streptophyta","Pinopsida","Cupressales","Cupressaceae","Juniperus",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Amaryllidaceae","Allium",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0
"25","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Oldenlandia",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"26","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae","Vitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"28","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Rutaceae","Citrus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"29","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Dichanthelium",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Solanaceae","Capsicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Urticaceae","Urtica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Cyperaceae","Cyperus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Eruca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Phyllostachys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Juglandaceae","Juglans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Campanulaceae","Wahlenbergia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Spinacia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Cichorium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Poa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Viridiplantae","Streptophyta","Magnoliopsida","Dipsacales","Adoxaceae","Viburnum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Viridiplantae","Streptophyta","Magnoliopsida","Oxalidales","Oxalidaceae","Oxalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","Phytolacca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Verbenaceae","Glandularia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Convolvulaceae","Ipomoea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae","Morus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Vicia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Styphnolobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aegilops",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Prunus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Lollium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Urochloa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Rubus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Callicarpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","Phyllanthus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Viridiplantae","Streptophyta","Magnoliopsida","Proteales","Platanaceae","Platanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Avena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Viridiplantae","Streptophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Crassocephalum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Croton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Juncaceae","Juncus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Daucus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Juglandaceae","Carya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Convolvulaceae","Jacquemontia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Eromochloa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Scutellaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Eleusine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
